_id, Name, District, Category, University, Institution Type, College Type
1, Alagappa Govt. Arts College, Sivagangai, Arts & Science, Alagappa University, Government, Co-Education
2, Alagappa University College of Education, Sivagangai, , Alagappa University,
776, St. Justins College of Education, Madurai, , Tamil Nadu Physical Education and Sports University
777, M.V. Muthiah Govt. Arts College for Women, Dindigul, , Madurai Kamaraj University
778, Madura College (Autonomous), Madurai, , Madurai Kamaraj University
779, Madurai Institute of Social Sciences, Madurai, , Madurai Kamaraj University
780, Madurai Kamaraj University College, Theni, , Madurai Kamaraj University
781, Madurai Kamaraj University Evening College, Dindigul, , Madurai Kamaraj University
782, Madurai Kamaraj University Evening College, Ramnad, , Madurai Kamaraj University
783, Madurai Kamaraj University Evening College, Dindigul, , Madurai Kamaraj University
784, Madurai Kamaraj University Evening College, Theni, , Madurai Kamaraj University
785, Madurai Kamaraj University Evening College, Madurai, , Madurai Kamaraj University
786, Madurai Kamaraj University Evening College, Theni, , Madurai Kamaraj University
787, Mangayarkarasi Arts and Science College for Women, Madurai, , Madurai Kamaraj University
788, Mannar Tirumalai Naicker College, Madurai, , Madurai Kamaraj University
789, N.M.S. Sermathai Vasan College for Women, Madurai, , Madurai Kamaraj University
790, N.M.S.S. Vellachami Nadar College, Madurai, , Madurai Kamaraj University
791, N.P.R. Arts and Science College, Dindigul, , Madurai Kamaraj University
792, Nadar Saraswathy College of Arts and Science, Theni, , Madurai Kamaraj University
793, P.K.N. Arts and Science College, Madurai, , Madurai Kamaraj University
794, Pannaikadu Veerammal Paramasivam College, Dindigul, , Madurai Kamaraj University
795, Parvathy's Arts and Science College, Dindigul, , Madurai Kamaraj University
796, Pasumpon Muthuramalinga Thevar College, Madurai, , Madurai Kamaraj University
797, Rajapalayam Raju's College, Virudhunagar, , Madurai Kamaraj University
798, Rama Prabha College of Arts and Science, Dindigul, , Madurai Kamaraj University
799, Rev. Jacob Memorial Christian College, Dindigul, , Madurai Kamaraj University
800, S.B.K. College, Virudhunagar, , Madurai Kamaraj University
801, S.P. College of Science and Arts, Madurai, , Madurai Kamaraj University
802, Saraswathy Narayanan College, Madurai, , Madurai Kamaraj University
803, Senthamil College, Madurai, , Madurai Kamaraj University
804, Sourashtra College, Madurai, , Madurai Kamaraj University
805, Sourashtra College for Women, Madurai, , Madurai Kamaraj University
806, Sri Adi Chunchanagiri Women's College, Theni, , Madurai Kamaraj University
807, Sri Kaliswari College, Virudhunagar, , Madurai Kamaraj University
808, Sri Meenakshi Govt. College for Women (Autonomous), Madurai, , Madurai Kamaraj University
809, Sri Nagalakshmi Ammal Arts and Science College, Madurai, , Madurai Kamaraj University
810, Sri S. Ramasamy Naidu Memorial College, Virudhunagar, , Madurai Kamaraj University
811, Sri Sai Bharath College of Arts and Science, Dindigul, , Madurai Kamaraj University
812, St. George's Jayaraj Chelladurai College for Women, Madurai, , Madurai Kamaraj University
813, Subbalakshmi Lakshmipathi College of Science, Madurai, , Madurai Kamaraj University
814, Subramanya College of Arts and Science, Dindigul, , Madurai Kamaraj University
815, The American College (Autonomous), Madurai, , Madurai Kamaraj University
816, The Standard Fireworks Rajarathinam College for Women (Autonomous), Virudhunagar, , Madurai Kamaraj University
817, Theni College of Arts and Science, Theni, , Madurai Kamaraj University
818, Thiagarajar College (Autonomous), Madurai, , Madurai Kamaraj University
819, Udaya College of Arts and Science, Kanyakumari, , Madurai Kamaraj University
820, V.H.N.S.N. College, Virudhunagar, , Madurai Kamaraj University
821, V.P.M.M. Arts and Science College for Women, Virudhunagar, , Madurai Kamaraj University
822, V.V.V. College for Women, Virudhunagar, , Madurai Kamaraj University
823, Vivekanandha College (Autonomous), Madurai, , Madurai Kamaraj University
824, Yadava College, Madurai, , Madurai Kamaraj University
825, A.P.C. Mahalakshmi College for Women, Tuticorin, , Manonmaniam Sundaranar University
826, Aditanar College of Arts and Science, Tuticorin, , Manonmaniam Sundaranar University
827, Ambai Arts College, Tirunelveli, , Manonmaniam Sundaranar University
828, Annai Hajira Women's College, Tirunelveli, , Manonmaniam Sundaranar University
829, Annai Veilankanni College, Kanyakumari, , Manonmaniam Sundaranar University
830, Arignar Anna College, Kanyakumari, , Manonmaniam Sundaranar University
831, Arulmigu Panruti Ayyan Arts and Science College, Tuticorin, , Manonmaniam Sundaranar University
832, Bishop Calldowell College, Tuticorin, , Manonmaniam Sundaranar University
833, C.S.I. Jeyaraj Annapackiam College, Tirunelveli, , Manonmaniam Sundaranar University
834, G.V.N. College, Tuticorin, , Manonmaniam Sundaranar University
835, Govindammal Adithanar Women's College, Tuticorin, , Manonmaniam Sundaranar University
836, Govt. Arts College for Women, Tirunelveli, , Manonmaniam Sundaranar University
837, Holy Cross College, Kanyakumari, , Manonmaniam Sundaranar University
838, Holy Cross Home Science College for Women, Tuticorin, , Manonmaniam Sundaranar University
839, K.R. Arts and Science College, Tuticorin, , Manonmaniam Sundaranar University
840, Kamaraj College, Tuticorin, , Manonmaniam Sundaranar University
841, Lakshmipuram College of Arts and Science, Kanyakumari, , Manonmaniam Sundaranar University
842, Malankara Catholic College, Kanyakumari, , Manonmaniam Sundaranar University
843, Manonmaniam Sundarnar University, Tirunelveli, , Manonmaniam Sundaranar University
844, Muslim Arts College, Kanyakumari, , Manonmaniam Sundaranar University
845, Nazareth Margochis College, Tuticorin, , Manonmaniam Sundaranar University
846, Nesamony Memorial Christian College, Kanyakumari, , Manonmaniam Sundaranar University
847, Noorl Islam Arts and Science College, Kanyakumari, , Manonmaniam Sundaranar University
848, Pasumbon Muthuramalinga Thevar College, Tirunelveli, , Manonmaniam Sundaranar University
849, Perarignar Anna College, Tirunelveli, , Manonmaniam Sundaranar University
850, Pioneer Kumarasamy College, Kanyakumari, , Manonmaniam Sundaranar University
851, Pope's College, Tuticorin, , Manonmaniam Sundaranar University
852, Rose Mary Arts and Science College, Tirunelveli, , Manonmaniam Sundaranar University
853, S.S. Duraisamy Nadar Maariammal College, Tuticorin, , Manonmaniam Sundaranar University
854, S.T. Hindu College, Kanyakumari, , Manonmaniam Sundaranar University
855, Sadakathullah Appa College, Tirunelveli, , Manonmaniam Sundaranar University
856, Sarah Tucker College, Tirunelveli, , Manonmaniam Sundaranar University
857, Sardar Raja Arts College, Tirunelveli, , Manonmaniam Sundaranar University
858, Sattanatha Karaiyalar College, Tirunelveli, , Manonmaniam Sundaranar University
859, Scott Christian College, Kanyakumari, , Manonmaniam Sundaranar University
860, Sivanthi Adithanar College, Kanyakumari, , Manonmaniam Sundaranar University
861, Sree Ayyappa College for Women, Kanyakumari, , Manonmaniam Sundaranar University
862, Sree Devi Kumari Women's College, Kanyakumari, , Manonmaniam Sundaranar University
863, Sri K.G.S. Arts College, Tuticorin, , Manonmaniam Sundaranar University
864, Sri Paramakalyani College, Tirunelveli, , Manonmaniam Sundaranar University
865, Sri Parasakthi Women's College, Tirunelveli, , Manonmaniam Sundaranar University
866, Sri Saradha Women's College, Tirunelveli, , Manonmaniam Sundaranar University
867, St. John's College, Tirunelveli, , Manonmaniam Sundaranar University
868, St. Jude's College, Kanyakumari, , Manonmaniam Sundaranar University
869, St. Mary's College, Tuticorin, , Manonmaniam Sundaranar University
870, St. Xavier's College, Tirunelveli, , Manonmaniam Sundaranar University
871, T.D.M.N.S. College, Tirunelveli, , Manonmaniam Sundaranar University
872, The M.D.T. Hindu College, Tirunelveli, , Manonmaniam Sundaranar University
873, Thiruvalluvar College, Tirunelveli, , Manonmaniam Sundaranar University
874, V.O. Chidambaram College, Tuticorin, , Manonmaniam Sundaranar University
875, V.T.M College of Arts and Science, Kanyakumari, , Manonmaniam Sundaranar University
876, Vivekananda College, Kanyakumari, , Manonmaniam Sundaranar University
877, Wavoo Wajeeha Women's College, Tuticorin, , Manonmaniam Sundaranar University
878, Women's Christian College, Kanyakumari, , Manonmaniam Sundaranar University
879, A.A. Govt. Arts College, Salem, , Periyar University
880, A.A. Govt. Arts College for Men, Namakkal, , Periyar University
881, A.E.T. College, Salem, , Periyar University
882, A.V.S. College of Arts and Science, Salem, , Periyar University
883, Alamelu Angappan College for Women, Namakkal, , Periyar University
884, Anbu Arts and Science College, Namakkal, , Periyar University
885, Arignar Anna College (Arts and Science), Krishnagiri, , Periyar University
886, Arignar Anna Government Arts College for Men, Namakkal, , Periyar University
887, Attur Arts and Science College, Salem, , Periyar University
888, Bharathiyar Arts and Science College for Women, Salem, , Periyar University
889, Don Bosco College, Dharmapuri, , Periyar University
890, Gem Gates Arts and Science College, Salem, , Periyar University
891, Govt Arts College for Women, Krishnagiri, , Periyar University
892, Govt. Arts and Science College for Women, Dharmapuri, , Periyar University
893, Govt. Arts College, Dharmapuri, , Periyar University
894, Govt. Arts College, Salem, , Periyar University
895, Govt. Arts College for Men, Krishnagiri, , Periyar University
896, Govt. Arts College for Women, Salem, , Periyar University
897, Govt. Arts College for Women, Krishnagiri, , Periyar University
898, Harur Muthu Arts and Science College for Women, Dharmapuri, , Periyar University
899, J.K.K. Nataraja College of Arts and Science, Namakkal, , Periyar University
900, Jairam Arts and Science College, Salem, , Periyar University
901, K.S.R. College of Arts and Science, Namakkal, , Periyar University
902, Kamadhenu College of Arts and Science, Dharmapuri, , Periyar University
903, Kandaswami Kandar's College, Namakkal, , Periyar University
904, Kings College of Arts and Science for Women, Namakkal, , Periyar University
905, M.G.R College of Arts and Science, Krishnagiri, , Periyar University
906, M.G.R. College, Hosur, Dharmapuri, , Periyar University
907, Mahendra College of Arts and Science, Namakkal, , Periyar University
908, Muthayammal College of Arts and Science, Namakkal, , Periyar University
909, N.K.R. Government Arts College for Women, Namakkal, , Periyar University
910, P.G.P. College of Arts and Science, Namakkal, , Periyar University
911, P.M.P. College of Arts and Science, Dharmapuri, , Periyar University
912, Paavendhar College of Arts and Science, Salem, , Periyar University
913, Pachamuthu Arts and Science Women's College, Dharmapuri, , Periyar University
914, Padmavani College of Arts and Science for Women, Salem, , Periyar University
915, Pee Gee College of Arts and Science, Dharmapuri, , Periyar University
916, Periyar University College of Arts and Science, Dharmapuri, , Periyar University
917, Rabindharanath Tagore College of Arts and Science for Women, Salem, , Periyar University
918, S.S.M. College of Arts and Science, Namakkal, , Periyar University
919, Salem Sowdeswari College, Salem, , Periyar University
920, Selvam Arts and Science College, Namakkal, , Periyar University
921, Sengunthar College of Arts and Science, Namakkal, , Periyar University
922, Sri Balamurugan Arts and Science College, Salem, , Periyar University
923, Sri Ganesh College of Arts and Science, Salem, , Periyar University
924, Sri Kandhan College of Arts and Science, Namakkal, , Periyar University
925, Sri Sakthi Kailash College of Women, Salem, , Periyar University
926, Sri Sarada College for Women (Autonomous), Salem, , Periyar University
927, Sri Vidhya Mandir Arts and Science College, Dharmapuri, , Periyar University
928, St. Joseph's College of Arts and Science for Women, Dharmapuri, , Periyar University
929, Subramaniyam College of Arts and Science, Namakkal, , Periyar University
930, Thiruvalluvar Govt. Arts College, Namakkal, , Periyar University
931, Trinity College for Women, Namakkal, , Periyar University
932, Vivekanandha College for Women, Namakkal, , Periyar University
933, Vysya College, Salem, , Periyar University

Tamil Nadu Dr. M.G.R. Medical University

A.J. College of Pharmacy, Chennai Adhi Bhagawan College of Pharmacy, Cheyyar, Tiruvanamalai Adhiparasakhthi College of Pharmacy, Cheyyar, Tiruvanamalai Adhiparasakthi College of Nursing, Melmaruvathur, Kanchipuram Adhiparasakthi College of Physiotherapy, Melmaruvathur, Kanchipuram Adhiparasakthi Dental College and Hospital, Melmaruvathur, Kanchipuram Akila Thiruvithamcore Siddha Vaidhya Sangam, Kanyakumari Al-Ameen College of Nursing, Tiruvannamalai, Tiruvanamalai Annai J.K.K. Sampoorani Ammal College of Nursing, Komarapalayam, Namakkal Annai J.K.K. Sampoorani Ammal College of Pharmacy, Namakkal Annai Meenakshi College of Nursing, Coimbatore Annai Therasa Institute of Paramedical Sciences, Salem Annai Veilankanni Pharmacy College, Chennai Annammal College of Nursing, Kuzhithurai, Kanyakumari Annasamy Rajammal College of Nursing, Tirunelveli Antarctica College of Pharmacy, Tirunelveli Apollo College of Nursing, Chennai Aravind Eye Hospitals and PG Institute of Ophthalmology, Madurai Arulmigu Kalasalingam College of Pharmacy, Krishnankoil, Virudhunagar Best Dental Science College, Melur, Madurai Bharani Swathi College of Physiotherapy, Chennai Billroth College of Nursing, Chennai Bishop's College of Nursing, Erode C.L. Baid Metha College of Pharmacy, Chennai C.S. Jain College of Pharmacy, Shrimushnam, Cuddalore C.S.I. College of Dental Sciences and Research, Madurai C.S.I. Jayaraj Annapackiam College of Nursing, Madurai Cancer Institute, College of Oncological Sciences, Chennai Chengalpattu Medical College, Chengalpattu, Kanchipuram Cheran College of Pharmacy, Coimbatore Cheran's College of Nursing, Coimbatore Cheran's College of Physiotherapy, Coimbatore Child Jesus College of Nursing, Trichy Chithirai College of Nursing, Madurai Christian College of Nursing, Kanyakumari Christian College of Physiotherapy, Colachel, Kanyakumari Christian Medical College, Vellore Coimbatore College of Pharmacy, Erode Coimbatore Medical College, Coimbatore Coimbatore Medical College, Coimbatore College of Allied Medical Sciences, Madurai College of Nursing Vel R.S. Medical College, Chennai College of Nursing, Christian Medical College, Vellore College of Nursing, Madras Medical College, Chennai College of Nursing, Madurai Medical College, Madurai College of Occupational Therapy, Christian Medical College, Vellore College of Occupational Therapy, J.K.K. Munirajah Medical Research Foundation, Namakkal College of Pharmacy, Madras Medical College, Chennai College of Pharmacy, Madurai Medical College, Madurai College of Physiotherapy, Christian Medical College, Vellore College of Physiotherapy, J.K.K. Munirajah Medical Research Foundation, Komarapalayam, Namakkal College of Physiotherapy, Sri Ramakrishna Institute of Paramedical Sciences, Coimbatore College of Physiotherapy, Trinity Mission and Medical Foundation, Madurai College of Physiotherapy, Vivekananda of Medical Science and Research, Tiruchengode, Namakkal Department of Pharmacy, Annamalai University, Cuddalore Devendrar College of Physiotherapy, Tirunelveli Dhanalakshmi Srinivasan College of Nursing, Perambalur Dhanvanthri College of Nursing, Erode Dharma Ayurveda Medical Research Institution, Sriperambudur, Kanchipuram Doctor's College of Nursing, Pudukottai Dr. A.L.M. PG Institute of Basic Medical Sciences, Chennai Dr. G. Sakunthala College of Nursing, Trichy Dr. Hahnemann Homoeopathy Medical College and Research Centre, Rasipuram, Namakkal Dr. Mahalingam Institute of Paramedical Sciences and Research, Erode E.S. College of Nursing, Villupuram Edayathangudy G.S. Pillay College of Pharmacy, Nagapattinam Ellen College of Nursing, Coimbatore Fathima College of Pharmacy, Kadayanallur, Tirunelveli Global College of Nursing, Kanyakumari Government Dharamapuri Medical College, Dharmapuri Govt. College of Physiotherapy, tr, Trichy Govt. Homoeopathic Medical College and Hospital, Tirumangalam, Madurai Govt. Institute of Rehabilitation Medicine, Chennai Govt. Siddha Medical College, Tirunelveli Govt. Siddha Medical College, Chennai Indira College of Nursing, Pandur, Tiruvallur Indira College of Nursing, Trichy Institute of Ophthalmology, Joseph Eye Hospital, Trichy J.K. College of Nursing and Paramedicals, Coimbatore J.K. College of Nursing and Paramedicals, Coimbatore J.K.K. Natarajah College of Pharmacy, Komarapalayam, Namakkal J.K.K. Nattraja Dental College, Komarapalayam, Erode J.S.S. College of Pharmacy, Udagamandalam, Nilgiris J.V. College of Nursing, Chennai Jainee College of Nursing, Dindigul Jaya College of Paramedical Science, Thiruninravur, Tiruvallur Jaya College of Paramedical Sciences, Tiruninravur, Tiruvallur K.A.P. Viswanathan Govt. Medical College, Trichy K.G. College of Nursing, Coimbatore K.G. College of Physiotherapy, Coimbatore K.K. College of Pharmacy, Chennai K.M. College of Pharmacy, Madurai K.M.C.H. College of Nursing, Coimbatore K.M.C.H. College of Occupational Therapy, Coimbatore K.M.C.H. College of Pharmacy, Coimbatore K.M.C.H. College of Physiotherapy, Coimbatore K.M.R. College of Pharmacy, Perundurai, Erode K.R.S. Pallavan College of Pharmacy, Sriperambudur, Kanchipuram K.S.R. Institute of Dental Science and Research, Tiruchengode, Namakkal Kamalakshi Pandurangan College of Pharmacy, Tiruvannamalai, Tiruvanamalai Kamalam Viswanathan College of Physiotherapy, Trichy Kanyakumari Govt. Medical College, Kanyakumari Karpaga Vinayaga College of Nursing, Pudukottai Karpaga Vinayaga Institute of Dental Sciences, Madhuranthagam, Kanchipuram Karpagam College of Pharmacy, Coimbatore Karpagam Nursing College, Coimbatore Kavimony College of Physiotherapy, Coimbatore Keerai Thamil Selvan College of Nursing, Pudukottai Kilpauk Medical College, Chennai Kovai Kongunadu College of Nursing, Coimbatore Laxmi Narayana College of Pharmacy, Dharmapuri M.A. Chidambaram College of Nursing, Chennai M.M.M. College of Nursing, Chennai Madha College of Nursing, Chennai Madha College of Physiotherapy, Chennai Madha Dental College and Hospital, Chennai Madras College of Pharmacy, Chennai Madras Medical College and Research Institute, Chennai Madurai Medical College, Madurai Maharaja College of Physiotherapy, Chennai Maharaji College of Pharmacy, Chennai Mannai Narayanswamy Paramedical College, Thanjavur Matha College of Nursing, Sivagangai Matha College of Physiotherapy, Manamadurai, Sivagangai Mayor Radhakrishnan College of Pharmacy, Cuddalore Meenakshi College of Occupational Therapy, Chennai Meenakshi University (Meenakshi College of Nursing), Chennai Meenakshi University (Meenakshi College of Physiotherapy), Chennai Melmaruvathur Adiparasakthi Institute of Medical Sciences, Melmaruvathur, Kanchipuram Miot College of Nursing, Chennai Mohamed Sathak A.J. College of Nursing, Chennai Mohammed Sathak A.J. College of Physiotherapy, Chennai Mohan Kumaramangalam Govt. Medical College, Salem Mookambigai College of Physiotherapy, Chennai N.M.S. College of Pharmacy, Kanyakumari Nadar Mahajana Sangam College of Pharmacy, Thiruvattar, Kanyakumari Nandha College of Nursing, Erode Nandha College of Pharmacy, Erode Nandha College of Physiotherapy, Erode National College of Pharmacy, Thiruninravur, Tiruvallur National Institute of Siddha, Chennai Nehru Nursing College, Tirunelveli Nethra Homoeopathy Medical College, Coimbatore Nightingale Institute of Nursing Education, Coimbatore Omayal Achi College of Nursing, Chennai Our Lady of Health College of Nursing, Thanjavur P.G.P. College of Nursing and Research, Namakkal P.G.P. College of Pharmaceutical Science and Research Institute, Villipalayam, Namakkal P.P.G. College of Nursing, Coimbatore P.P.G. College of Physiotherapy, Coimbatore P.S. College of Nursing, Kanyakumari P.S.G. College of Nursing, Coimbatore P.S.G. College of Paramedical Sciences, Coimbatore P.S.G. College of Pharmacy, Coimbatore P.S.G. Institute of Medical Sciences and Research, Coimbatore Padmasree College of Nursing, Kanchipuram Padmavathy College of Nursing, Dharmapuri Padmavathy College of Pharmacy, Dharmapuri Padmavathy College of Physiotherapy, Dharmapuri Pallavan College of Pharmacy, Kanchipuram Pandyan College of Pharmacy, Madurai Pearl Peace Medical Mission, Tirunelveli Periyar College of Pharmaceutical Sciences for Girls, Trichy Pioneer College of Physiotherapy, Ramnad Priyadarshini Dental College and Hospital, Thiruvallur, Tiruvallur R.V.S. Dental College and Hospital, Sulur, Coimbatore Rabindranath Tagore College of Nursing for Women, Sankari, Salem Ragas Dental College and Hospital, Chennai Rajah Muthiah Dental College and Hospital, Chidambaram, Cuddalore Rajalakshmi College of Nursing, Sriperambudur, Kanchipuram Rajas Dental College, Vadakangulam, Tirunelveli Rass Academy College of Nursing, Sivagangai Right College of Nursing, Chennai Royal College of Pharmacy and Paramedical Sciences, Coimbatore RVS Ayurveda College, Coimbatore RVS Homoeopathy Medical College, Sulur, Coimbatore S. Chattanatha Karayalar College of Pharmacy, Tenkasi, Tirunelveli S.A. Raja College of Pharmacy, Tirunelveli Sacred Heart Nursing College, Madurai Sakthi College of Nursing, Karur Sakthi College of Nursing, Oddanchatiram, Dindigul Sankara Nethralaya Medical Research Foundation, Chennai Santhosh College of Occupational Therapy, Chennai Sara College of Nursing, Dharapuram, Erode Saradha Krishna Homoeopathy Medical College, Kanyakumari Saveetha University (Saveetha Dental College and Hospital), Chennai Servite College of Nursing, Trichy Shanmuga College of Nursing, Salem Shanmugha College of Physiotherapy, Salem Sharmila College of Nursing, Chennai Shenbagha College of Nursing, Chennai Shivparvathi Mandradiar Institute of Health Sciences, Erode Shoba College of Pharmacy, Erode Sre Sakthimayeil Institute of Nursing and Research, Komarapalayam, Namakkal Sree Abirami College of Nursing, Coimbatore Sree Krishna College of Pharmacy, Cuddalore Sree Mookambika Institute of Dental Sciences, Kanyakumari Sree Mookambika Institute of Medical Sciences, Kanyakumari Sree Shakthi Mayeil Institute of Research and Science, Tiruchengode, Namakkal Sri Aurobindo College of Nursing, Karur Sri Gokulam College of Nursing, Salem Sri Gokulam Institute of Paramedical Sciences, Salem Sri Gokulam Institute of Paramedical Sciences, Salem Sri K. Ramachandra Naidu College of Nursing, Tirunelveli Sri Kumragurubarar College of Pharmacy, Thanjavur Sri Mookambika College of Nursing, Kanyakumari Sri Narayani College of Nursing, Vellore Sri Paspo College of Nursing, Dharmapuri Sri Ramachandra College of Pharmacy, Vedaraniam, Nagapattinam Sri Ramakrishna Dental College, Coimbatore Sri Ramakrishna Institute of Paramedical Sciences, Coimbatore Sri Ramakrishna Institute of Paramedical Sciences, Coimbatore Sri Rangapoopathi College of Nursing, Villupuram Sri Sairam Ayurveda Medical College and Research Center, Chennai Sri Sairam Homoeopathy Medical College, Chennai Sri Sankar College of Ayurveda, Trichy Sri Santhoshi College of Nursing, Maduranthakam, Kanchipuram Sri Venkateswara Dental College and Hospital, Chennai, Kanchipuram Sri Vijay Vidhyalaya College of Nursing, Dharmapuri St. John's College of Nursing, Vellore St. Xavier's Catholic College of Nursing, Kanyakumari Stanley Medical College, Chennai Subbarayalu College of Pharmacy, Coimbatore Suran College of Nursing, Srivilliputtur, Virudhunagar Swami Vivekananda College of Nursing, Dharmapuri Swamy Vivekanandha College of Pharmacy, Tiruchengode, Namakkal Tagore Dental College and Hospital, Chennai Tamil Nadu Homoeopathy Medical College, Salem Tamilnadu Govt. Dental College, Chennai Tamilnadu Paramedical Institutions College of Physiotherapy, Chennai Texcity College of Nursing, Coimbatore Texcity College of Pharmacy, Coimbatore Thanjavur Medical College, Thanjavur Thanjavur Medical Collegep, Thanjavur Thanthai Roever College of Nursing, Perambalur Thanthai Rover College of Pharmacy, Perambalur Thanthai Rover College of Physiotherapy, Trichy Thasiah College of Nursing, Kanyakumari The Erode College of Pharmacy, Erode The Institute of Road Transport Perundurai Medical College, Perundurai, Erode The Venkatramana Ayurveda College, Chennai Theni Government Medical College, Theni Thoothukudi Govt. Medical College, Tuticorin Tirunelveli Medical College, Tirunelveli Tiruppur Kalaimagal College of Pharmacy, Tiruppur, Tirupur Tiruvarur Medical College, Tiruvarur U.C.A. College of Physiotherapy, Chennai Ultra College of Pharmacy, Madurai Vel R.S. Medical College, College of Physiotherapy, Chennai Vellalar College of Nursing, Erode Vellore Govt. Medical College, Vellore Velumailu Siddha Medical College, Sriperambudur, Kanchipuram Venkateswara Homoeopathy Medical College, Chennai Vignesh Nursing College, Tiruvannamalai, Tiruvanamalai Villupuram Medical College, Villupuram Vivekananda College of Nursing, Tiruchengode, Namakkal Vivekanandha Dental College for Women, Tiruchengode, Namakkal White Memorial College of Nursing, Veeyannoor, Kanyakumari White Memorial College of Physiotherapy, Kanyakumari White Memorial Homoeopathic Medical College, Kanyakumari

Tamil Nadu Teachers Education University

